"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"400C100US02494","Angels, CA Urban Cluster (2010)","3695","57","3592","102","0","12","14","16","17","19","0","12","0","12","72","66","0","12","72","66"
"400C100US02548","Angola, IN Urban Cluster (2010)","11166","398","10768","402","59","48","0","18","46","33","11","19","36","40","246","86","0","18","246","86"
"400C100US02575","Anna, IL Urban Cluster (2010)","5820","373","5399","382","62","53","3","11","29","23","0","15","81","107","246","110","0","15","246","110"
"400C100US02581","Anna, TX Urban Cluster (2010)","13566","516","11741","917","1033","701","122","98","492","682","0","21","68","82","110","104","28","47","82","93"
"400C100US02590","Annandale, MN Urban Cluster (2010)","3364","47","3024","194","34","45","0","9","0","9","0","9","306","184","0","9","0","9","0","9"
"400C100US02602","Ann Arbor, MI Urbanized Area (2010)","317491","1452","219234","1655","49641","1322","870","345","30301","777","166","73","2246","394","15033","1246","614","212","14419","1229"
"400C100US02629","Anniston--Oxford, AL Urbanized Area (2010)","77164","1264","50519","1299","21769","636","330","286","1247","204","7","12","1397","445","1895","421","90","107","1805","411"
"400C100US02656","Antigo, WI Urban Cluster (2010)","7700","171","7229","181","158","70","81","79","26","36","0","12","37","36","169","98","0","12","169","98"
"400C100US02683","Antioch, CA Urbanized Area (2010)","302511","1343","146665","3415","43977","1866","2410","581","33395","1992","2884","602","47183","3226","25997","2066","6431","1052","19566","1917"
"400C100US02710","Apalachicola, FL Urban Cluster (2010)","3813","481","2945","446","717","171","19","35","8","12","63","76","0","13","61","53","0","13","61","53"
"400C100US02764","Appleton, WI Urbanized Area (2010)","222343","827","200246","999","3394","369","1567","291","8753","462","45","34","4268","685","4070","497","346","147","3724","481"
"400C100US02773","Apple Valley, OH Urban Cluster (2010)","5173","419","4996","408","64","56","15","21","34","46","0","16","0","16","64","51","0","16","64","51"
"400C100US02791","Arab, AL Urban Cluster (2010)","7932","554","7580","526","68","45","27","29","95","43","1","4","41","59","120","51","44","36","76","38"
"400C100US02825","Arbuckle, CA Urban Cluster (2010)","2925","383","2844","396","0","12","10","14","0","12","0","12","12","20","59","72","0","12","59","72"
"400C100US02845","Arcade, NY Urban Cluster (2010)","3565","274","3429","281","57","94","0","11","32","31","0","11","37","55","10","10","0","11","10","10"
"400C100US02899","Arcadia, LA Urban Cluster (2010)","2803","67","668","153","1954","261","0","12","0","12","0","12","155","195","26","23","0","12","26","23"
"400C100US02901","Arcadia, WI Urban Cluster (2010)","3029","47","2168","203","20","17","0","9","0","9","0","9","841","192","0","9","0","9","0","9"
"400C100US02912","Arcadia--Southeast Arcadia, FL Urban Cluster (2010)","17964","727","14196","828","3089","311","73","82","40","42","20","30","310","195","236","164","96","120","140","87"
"400C100US02926","Arcata--McKinleyville, CA Urban Cluster (2010)","35252","1029","28923","1140","511","185","1159","288","612","188","34","61","1782","487","2231","478","123","77","2108","466"
"400C100US02953","Archbold, OH Urban Cluster (2010)","4656","213","4110","229","12","19","0","11","0","11","0","11","417","231","117","90","28","58","89","79"
"400C100US02965","Archer Lodge--Clayton, NC Urban Cluster (2010)","16011","1343","13172","1275","1643","498","105","96","215","139","0","19","190","169","686","345","179","175","507","284"
"400C100US02980","Arcola, IL Urban Cluster (2010)","2950","149","2681","190","10","11","45","67","0","11","0","11","113","59","101","72","38","36","63","61"
"400C100US03007","Ardmore, OK Urban Cluster (2010)","21099","402","13618","461","2450","211","1533","275","361","113","4","6","948","247","2185","342","128","70","2057","343"
"400C100US03034","Arecibo, PR Urbanized Area (2010)","132853","2093","114066","2389","3723","762","266","113","543","195","0","32","12473","1342","1782","576","783","351","999","380"
"400C100US03088","Arizona City, AZ Urban Cluster (2010)","11096","1308","9399","1120","236","205","588","492","31","34","0","19","452","251","390","350","70","116","320","331"
"400C100US03115","Arkadelphia, AR Urban Cluster (2010)","10504","87","6790","330","3204","336","32","36","89","54","0","18","177","127","212","84","11","20","201","88"
"400C100US03142","Arkansas City, KS Urban Cluster (2010)","12688","270","11048","486","389","96","309","115","59","45","0","16","297","210","586","180","100","113","486","140"
"400C100US03158","Arlington, TN Urban Cluster (2010)","11074","557","8877","559","1617","318","0","19","211","171","2","4","146","193","221","155","0","19","221","155"
"400C100US03196","Arroyo Grande--Grover Beach, CA Urbanized Area (2010)","53940","1059","45083","1187","580","229","617","345","2263","571","218","183","3062","968","2117","517","353","253","1764","450"
"400C100US03223","Artesia, NM Urban Cluster (2010)","13938","554","12731","595","198","130","237","229","142","183","0","19","575","263","55","93","55","93","0","19"
