"topic","term","beta"
4,"7day",0.000188492539891633
1,"9yr",0.000222759141224888
2,"9yr",5.55398453154012e-05
3,"9yr",0.000164798001774481
4,"9yr",0.000129026519692593
1,"aameen",4.17784147357974e-05
2,"aameen",0.000110217331192274
3,"aameen",0.000314391559250547
4,"aameen",0.000120173160488628
1,"aarp",3.96494029666216e-05
2,"aarp",0.000393137182470191
3,"aarp",0.000110465448330616
4,"aarp",0.000185431063248756
1,"abc7ni",7.63400409973357e-05
2,"abc7ni",3.49752971546396e-05
3,"abc7ni",0.000197902710410129
4,"abc7ni",0.000252265422455025
1,"abort",0.000397240948899903
2,"abort",0.000388918195978797
3,"abort",0.000284551544668658
4,"abort",0.000201653770931441
1,"abroad",0.000963194424908548
2,"abroad",0.000926002722667992
3,"abroad",7.77803015942326e-05
4,"abroad",0.000118716407998461
1,"absolut",0.000220658016108351
2,"absolut",0.000193451056322631
3,"absolut",4.23143145597902e-05
4,"absolut",0.000186739981808455
1,"abt",0.000206942373806934
2,"abt",0.000114369104712046
3,"abt",0.000197423741096656
4,"abt",7.73535972538423e-05
1,"accept",0.00041946127999492
2,"accept",0.000342180762419369
3,"accept",0.000786552422586108
4,"accept",0.00078780865977703
1,"access",0.000476513560842212
2,"access",0.000372775383927801
3,"access",0.000390189668206346
4,"access",1.70519377102273e-05
1,"account",0.000210264539505141
2,"account",1.30833596122825e-05
3,"account",0.000428267876142935
4,"account",0.000443011274441259
1,"accur",0.000358636070473829
2,"accur",0.000224983991283549
3,"accur",0.000355544691965582
4,"accur",0.000254725646629077
1,"accus",9.64535052196615e-05
2,"accus",0.000214908512813714
3,"accus",0.000124679692498636
4,"accus",0.000211381363844178
1,"acebearstrom",0.000185662228842376
2,"acebearstrom",0.000119126390033066
3,"acebearstrom",0.000145919938963062
4,"acebearstrom",0.000151578959998538
1,"acepi",0.0002408767203252
2,"acepi",5.11539554634524e-05
3,"acepi",0.000201952693329263
4,"acepi",7.32211061568736e-05
1,"aclu",7.18921950833093e-05
2,"aclu",0.000193472060165375
3,"aclu",0.000229274045451293
4,"aclu",0.000135425764057634
1,"act",0.000148423763753304
2,"act",0.000150387106876894
3,"act",9.81390611730367e-05
4,"act",0.00022323190544599
1,"action",0.00101715101111456
2,"action",0.00079723806085923
3,"action",0.00094953653527137
4,"action",0.00088180082658795
1,"activ",0.000694645625386697
2,"activ",0.000182600478934514
3,"activ",0.000433424239715021
4,"activ",0.000417290038931932
1,"actual",0.000228855155839984
2,"actual",6.47808060926937e-05
3,"actual",0.000118256759772531
4,"actual",0.000167857415971504
1,"ad",0.00102358922836037
2,"ad",0.000996861536892461
3,"ad",0.00073581074492391
4,"ad",0.000433562849295542
1,"add",0.000660562483027587
2,"add",0.000164366979038516
3,"add",0.00024831827334697
4,"add",9.94381390977552e-05
1,"addit",0.000445058621833477
2,"addit",0.000160321889184181
3,"addit",1.70057017428354e-05
4,"addit",6.22134621673875e-06
1,"administr",0.000375777785403301
2,"administr",0.000601185232403129
3,"administr",0.000470006935513969
4,"administr",0.000467886378167971
1,"admit",0.000332014815432829
2,"admit",7.66139492746763e-05
3,"admit",7.80801247968434e-05
4,"admit",0.000100629614789665
1,"adventur",5.37109698183617e-05
2,"adventur",0.000178704216985151
3,"adventur",0.000360735342268746
4,"adventur",2.04507029904588e-05
1,"advert",0.000411773880042751
2,"advert",0.000458725805768364
3,"advert",0.000394950390903711
4,"advert",2.96604899554405e-05
1,"advic",0.000172334567323361
2,"advic",0.000210410822686991
3,"advic",8.29434707418788e-05
4,"advic",0.000182333493286673
1,"advis",0.000705955506698259
